Song,,Constant,Level,Note Count,Difficulty,Song ID,Notes
Layer Note,レイヤーノート,27.6,27+,679,Master,532,
DUNE,砂の惑星,27.6,27+,1062,Master,219,
blue paint,青色絵具,27.6,27+,1058,Master,232,
99 Glooms,99 Glooms,27.6,27+,1017,Expert,749,
OKOCHAMA SENSO,おこちゃま戦争,27.6,27+,1259,Expert,307,
Ghost Rule,ゴーストルール,27.6,27+,1174,Expert,199,
Setsuna Trip,セツナトリップ,27.6,27+,1275,Expert,354,
Doctor=Funk Beat,ドクター＝ファンクビート,27.6,27+,984,Expert,28,
TRASH and TRASH!,トラッシュ・アンド・トラッシュ！,27.6,27+,1022,Expert,335,
Fräulein=библиотека,フロイライン＝ビブリォチカ,27.6,27+,1222,Expert,251,
Manhattan,マンハッタン,27.6,27+,901,Expert,590,
Tokugawa Cupnoodle Prohibition,徳川カップヌードル禁止令,27.6,27+,1065,Expert,234,
SAI LOVE JINSEI RUNNER,最愛人生ランナー,27.6,27+,1039,Expert,689,
Brain Revolution Girl,脳内革命ガール,27.6,27+,1189,Expert,344,
DSCF,妄想感傷代償連盟,27.6,APD 26,1092,Append,194,
IF,イフ,27.5,27,1062,Master,211,
Karakuri Pierrot,からくりピエロ,27.5,27,1005,Master,147,
DO RE MI FA Rondo,ドレミファロンド ,27.5,27,961,Master,603,
Hello/How Are You?,ハロ／ハワユ,27.5,27,851,Master,66,
Lonely Universe,ロンリーユニバース,27.5,27,999,Master,269,
Thousand Year Solo,千年の独奏歌,27.5,27,906,Master,223,
Shoujo Rei,少女レイ,27.5,27,1400,Master,169,
Tabi ni Kaeru,旅に帰る,27.5,27,876,Master,742,
Sad Machine,,27.5,27,755,Master,609,
Unsung Melodies,,27.5,27,760,Master,419,
Vampire's ∞ pathoS,Vampire's ∞ pathoS,27.5,27,992,Expert,334,
Eternal Aria,エターナルアリア,27.5,27,1272,Expert,364,
Zunda Party Night,ずんだパーリナイ,27.5,27,1407,Expert,379,
Parry,パリィ,27.5,27,963,Expert,553,
Fräulein=Ojousama,フロイライン＝オジョウサマ,27.5,27,1130,Expert,714,
Losstime Memory,ロスタイムメモリー,27.5,27,997,Expert,750,
BAKENOHANA,化けの花,27.5,27,875,Expert,549,
Outburst Dreamer Boys,厨病激発ボーイ,27.5,27,1118,Expert,581,
Incomplete Anthem,未完成讃歌,27.5,27,1324,Expert,254,
Catch the Wave,Catch the Wave,27.4,27,739,Master,699,
Stardust Rain,スターダストレイン,27.4,27,827,Master,728,
Melancholic,メランコリック,27.4,27,1100,Master,369,
Lagtrain,ラグトレイン,27.4,27,920,Master,469,
DSCF,妄想感傷代償連盟,27.4,27,966,Master,194,
Starry sky melody,星空のメロディー,27.4,27,821,Master,212,
Gift from the Princess who Brought Sleep,眠らせ姫からの贈り物,27.4,27,1003,Master,350,
Coral,箱庭のコラル,27.4,27,983,Master,324,
Gunjo Sanka,群青讃歌,27.4,27,833,Master,141,
City,街,27.4,27,769,Master,217,
CHAOS,CHAOS,27.4,27,890,Expert,744,
ONESELF,ONESELF,27.4,27,1063,Expert,227,
Additional Memory,アディショナルメモリー,27.4,27,955,Expert,751,
Anti Sainou,アンチサイノウ,27.4,27,790,Expert,788,
Tokimeki Jet Coaster,ときめきジェットコースター,27.4,27,1016,Expert,428,
Violence Trigger,バイオレンストリガー,27.4,27,1277,Expert,703,
Play-With-Fire,ヒアソビ,27.4,27,1053,Expert,433,
Teenager's Heartbeat,十六歳の心臓,27.4,27,1162,Expert,468,
Angel's Clover,天使のクローバー,27.4,27,985,Expert,112,
shinjinrui,新人類,27.4,27,1285,Expert,381,
Heat abnormal,熱異常,27.4,27,978,Expert,451,
My love is Hellfire,私の恋はヘルファイア,27.4,27,1491,Expert,301,
IDSMILE,アイディスマイル,27.4,APD 26,1216,Append,116,
Blessing,Blessing,27.3,27,986,Master,50,
flos,flos,27.3,27,893,Master,431,
from Y to Y,from Y to Y,27.3,27,982,Master,96,
on the rocks,on the rocks,27.3,27,1004,Master,86,
Kokuhaku,告白,27.3,27,588,Master,662,
Blazing,烈火,27.3,27,948,Master,497,
We are,私は、私達は,27.3,27,918,Master,287,
KILLER,キラー,27.3,27,825,Expert,474,
Fusion,フュージョン,27.3,27,1056,Expert,555,
Tonal Twinkle Tetrad,世界を照らすテトラッド,27.3,27,850,Expert,411,
Tensai Rock,天才ロック,27.3,27,1148,Expert,631,
Seikai,正解,27.3,27,815,Expert,804,
「１」,「１」,27.2,27,814,Master,132,
Afterglow,Afterglow,27.2,27,844,Master,309,
On&On,On&On,27.2,27,859,Master,426,
Ribbon,Ribbon,27.2,27,641,Master,717,
Sharing The World,Sharing The World,27.2,27,1122,Master,318,
Aishiteita no ni,あいしていたのに,27.2,27,580,Master,721,
I~ya I~ya I~ya,い〜やい〜やい〜や,27.2,27,809,Master,670,
Strata de Machiawase,ストラタでまちあわせ,27.2,27,655,Master,738,
Noten,脳天,27.2,27,975,Master,545,
Hollow,虚ろを扇ぐ,27.2,27,1112,Master,280,
spring storm,春嵐,27.2,27,1095,Expert,392,
MOTTO!!!,MOTTO!!!,27.1,27,1067,Master,405,
SAIRAI,SAIRAI,27.1,27,727,Master,747,
Ayano no Koufuku Riron,アヤノの幸福理論,27.1,27,749,Master,752,
Eleventh,イレヴンス,27.1,27,699,Master,539,
Double Lariat,ダブルラリアット,27.1,27,1115,Master,256,
Torinokocity,トリノコシティ,27.1,27,852,Master,242,
Near,ニア,27.1,27,841,Master,73,
Poka Poka Planet,ぽかぽかの星,27.1,27,903,Master,617,
Love is War,恋は戦争,27.1,27,1262,Master,365,
The Servant of Evil,悪ノ召使,27.1,27,784,Master,191,
Ikiru,生きる,27.1,27,704,Master,644,
Embellish,飾って,27.1,27,520,Master,572,
Ángel,アンヘル,27.1,27,917,Expert,562,
CYBER PUNK DEAD BOY,サイバーパンクデッドボーイ,27.1,27,917,Expert,452,
Shadow Shadow,Shadow Shadow,27.0,27,783,Master,476,
Who?,Who?,27.0,27,847,Master,680,
The Light That Dwells Here,そこに在る、光。,27.0,27,408,Master,564,lowest note count ever
Heartbeat #0822,心拍数♯0822,27.0,27,843,Master,155,
The Daughter of Evil,悪ノ娘,27.0,27,784,Master,190,
Happy Halloween,Happy Halloween,27.0,APD 26,832,Append,172,
ray,ray,26.9,26+,1092,Master,148,
Kanadetomosusora,カナデトモスソラ,26.9,26+,703,Master,149,
Twilight Light,トワイライトライト,26.9,26+,619,Master,384,
Disco No.39,Disco No.39,26.9,26+,950,Expert,399,
Gimme×Gimme,Gimme×Gimme,26.9,26+,842,Expert,83,
Opera! Space Opera!,オペラ！スペースオペラ！,26.9,26+,986,Expert,450,
Saitama 2000,さいたま2000,26.9,26+,659,Expert,707,
Sick of House!,しっくおぶはうす！,26.9,26+,1107,Expert,185,
Jack Pot Sad Girl,ジャックポットサッドガール,26.9,26+,647,Expert,62,
Touhou☆Wonderland,とうほう☆ワンダーランド,26.9,26+,806,Expert,623,
fixer,フィクサー,26.9,26+,948,Expert,183,
Positive☆Dance Time,ポジティブ☆ダンスタイム,26.9,26+,965,Expert,122,
Lower one's eyes,ロウワー,26.9,26+,780,Expert,187,
Tell Your World,Tell Your World,26.9,APD 25,1353,Append,1,
Sweet Magic,スイートマジック,26.9,APD 25,1126,Append,41,
glow,glow,26.8,26+,987,Master,339,
Intergalactic Bound,Intergalactic Bound,26.8,26+,996,Master,464,
Kimi no Yoru wo Kure,君の夜をくれ,26.8,26+,662,Master,237,
Hitorinbo Envy,独りんぼエンヴィー,26.8,26+,589,Master,74,
I am you,Iなんです,26.8,26+,910,Expert,304,
EGOIST,エゴイスト,26.8,26+,1303,Expert,299,
junky nighttown orchestra,ジャンキーナイトタウンオーケストラ,26.8,26+,1070,Expert,84,
Stardust Medley,スターダストメドレー,26.8,26+,1215,Expert,380,
Chururira Chururira Daddadda!,チュルリラ・チュルリラ・ダッダッダ！,26.8,26+,1246,Expert,88,
Cirno's Perfect Math Academy,チルノのパーフェクトさんすう学園,26.8,26+,999,Expert,624,
Piano × Forte × Scandal,ピアノ×フォルテ×スキャンダル,26.8,26+,1042,Expert,222,
Fish and Tips,フィッシュアンドTips,26.8,26+,833,Expert,626,
Mesmerizer,メズマライザー,26.8,26+,1218,Expert,531,
MORE! JUMP! MORE!,モア！ジャンプ！モア！,26.8,26+,1011,Expert,99,
Rollin Girl,ローリンガール,26.8,26+,1156,Expert,113,
Lost One's Weeping,ロストワンの号哭,26.8,26+,947,Expert,98,
Wanderlast,ワンダーラスト,26.8,26+,1418,Expert,711,
Composing the Future,悔やむと書いてミライ,26.8,26+,815,Expert,60,
Lagtrain,ラグトレイン,26.8,APD 25,1038,Append,469,
Love material,アイノマテリアル,26.7,26+,814,Master,144,
Sorega Anata No Shiawase To Shitemo,それがあなたの幸せとしても,26.7,26+,814,Master,294,
Aioi,相生,26.7,26+,1232,Master,351,
88☆彡,88☆彡,26.7,26+,1088,Expert,224,
Be The MUSIC!,Be The MUSIC!,26.7,26+,1121,Expert,336,
HERO,HERO,26.7,26+,1194,Expert,414,
Mr. Showtime,Mr. Showtime,26.7,26+,1341,Expert,333,
RAD DOGS,RAD DOGS,26.7,26+,1067,Expert,101,
Unknown Mother-Goose,アンノウン・マザーグース,26.7,26+,1080,Expert,115,
Override,オーバーライド,26.7,26+,1004,Expert,521,
All I Need are Things I Like,すきなことだけでいいです,26.7,26+,1081,Expert,367,
We are Different !!! (or Same),ちがう!!!,26.7,26+,930,Expert,475,
bug,バグ,26.7,26+,1101,Expert,248,
Pheles,フェレス,26.7,26+,1374,Expert,291,
Evil Food Eater Conchita,悪食娘コンチータ,26.7,26+,791,Expert,349,
Ura-Omote Lovers,裏表ラバーズ,26.7,26+,1017,Expert,114,
glow,glow,26.7,APD 25,855,Append,339,
Nomad,ノマド,26.7,APD 25,531,Append,189,
Ichi Ni no San de,いちにのさんで,26.6,26+,715,Master,292,
Comet Galaxy,彗星ノ銀河,26.6,26+,699,Master,526,
Bloom in mud,泥中に咲く,26.6,26+,761,Master,270,
Plaything,,26.6,26+,807,Master,535,
Ten Thousand Stars,,26.6,26+,933,Master,453,
I know I know.,I know 愛脳.,26.6,26+,1016,Expert,504,
Nyanyanyanyanyanyanya!,Nyanyanyanyanyanyanya!,26.6,26+,1059,Expert,713,
All-Save Challenge,オールセーブチャレンジ,26.6,26+,795,Expert,538,
Alter Ego,オルターエゴ,26.6,26+,1175,Expert,167,
Kareshi no Jude,カレシのジュード,26.6,26+,1184,Expert,652,
Jet Black,ジェットブラック,26.6,26+,1052,Expert,687,
Non-breath oblige,ノンブレス・オブリージュ,26.6,26+,1071,Expert,268,
Hurray,フレー,26.6,26+,1067,Expert,302,
Venom,ベノム,26.6,26+,972,Expert,145,
Your Adventure Log Has Vanished!,ぼうけんのしょがきえました！,26.6,26+,951,Expert,78,
Poppin' Candy☆Fever!,ポッピンキャンディ☆フィーバー！,26.6,26+,1140,Expert,494,
White Happy,ホワイトハッピー,26.6,26+,939,Expert,651,
Milk Crown on Sonechka,ミルククラウン・オン・ソーネチカ,26.6,26+,1025,Expert,107,
The peachy key,ももいろの鍵,26.6,26+,1073,Expert,308,
Last Score,ラストスコア,26.6,26+,1050,Expert,197,
Relayouter,リレイアウター,26.6,26+,960,Expert,435,
World's End Dancehall,ワールズエンド・ダンスホール,26.6,26+,957,Expert,119,
Ichiokunen Koi Shiteru,一億年恋してる,26.6,26+,904,Expert,795,
Hated by Life,命に嫌われている,26.6,26+,756,Expert,22,
Awaiting Clear Skies,霽れを待つ,26.6,26+,974,Expert,97,
Kuronuri Sekai ate Shokan,黒塗り世界宛て書簡,26.6,26+,930,Expert,704,
Chu! Future☆Express!,,26.6,26+,1062,Expert,701,
ECHO,ECHO,26.5,26,805,Master,100,
Fondant Step,Fondant Step,26.5,26,904,Master,618,
Interviewer,インタビュア,26.5,26,1097,Master,330,
Sono E no Namae wa,その絵の名前は,26.5,26,555,Master,597,
Nomad,ノマド,26.5,26,592,Master,189,
Jishoumushoku,自傷無色,26.5,26,829,Master,67,
Life Will Change,Life Will Change,26.5,26,973,Expert,648,
T-shi no Hanashi wo Shinjiru na,T氏の話を信じるな,26.5,26,948,Expert,727,
I Maker!,アイ・メイカー！,26.5,26,1118,Expert,741,
Accelerate,アクセラレイト,26.5,26,810,Expert,583,
Unhappy Refrain,アンハッピーリフレイン,26.5,26,1137,Expert,288,
Envy Cat Walk,エンヴィキャットウォーク,26.5,26,932,Expert,595,
Silver Collector,シルバーコレクター,26.5,26,1113,Expert,496,
Dance Robot Dance,ダンスロボットダンス,26.5,26,927,Expert,68,
Marshmary,マシュマリー,26.5,26,1123,Expert,157,
merry-go-round,メリーゴーラウンド,26.5,26,874,Expert,517,
Lavie,ラヴィ,26.5,26,1080,Expert,723,
Red Land Marker,レッドランドマーカー,26.5,26,1018,Expert,462,
Rocket Cider,ロケットサイダー,26.5,26,1110,Expert,665,
Yobanashi Deceive,夜咄ディセイブ,26.5,26,1165,Expert,81,
Shama,紗痲,26.5,26,1088,Expert,620,
Law-evading Rock,脱法ロック,26.5,26,972,Expert,21,
Hanamusubi,花結び,26.5,26,989,Expert,695,
CrystalSnow,クリスタルスノウ,26.4,26,773,Master,593,
Hajimete no Oto,ハジメテノオト,26.4,26,639,Master,470,
Meru,メリュー,26.4,26,983,Master,218,
Dawn and Fireflies,夜明けと蛍,26.4,26,852,Master,311,
"Help me, ERINNNNNN!!","Help me, ERINNNNNN!!",26.4,26,1168,Expert,502,
snooze,snooze,26.4,26,961,Expert,554,
Surges,Surges,26.4,26,950,Expert,632,
Identity,アイデンティティ,26.4,26,1196,Expert,231,
Cute Na Kanojo,キュートなカノジョ,26.4,26,1006,Expert,391,
Genten,げんてん,26.4,26,1021,Expert,669,
Goodbye heaven,サヨナラ天国また来て地獄,26.4,26,723,Expert,649,
Suicide Parade,スーサイドパレヱド,26.4,26,918,Expert,606,
Stella,ステラ,26.4,26,955,Expert,64,
(Not) A Devil,デビルじゃないもん,26.4,26,854,Expert,412,
Blue Planet,ブループラネット,26.4,26,1287,Expert,357,
Devil's Manner,悪魔の踊り方,26.4,26,792,Expert,133,
Close to gray,限りなく灰色へ,26.4,26,818,Expert,90,
Mahou Shoujo Koufukuron,魔法少女幸福論,26.4,26,982,Expert,715,
Becoming Potatoes,potatoになっていく,26.4,APD 25,703,Append,52,
Dawn and Fireflies,夜明けと蛍,26.4,APD 25,717,Append,311,
Packaged,Packaged,26.3,26,839,Master,604,
Epilogue without you,エピローグに君はいない,26.3,26,625,Master,332,
Suresure,すれすれ,26.3,26,595,Master,442,
Happy Cheat Day,ハッピーチートデー,26.3,26,817,Master,463,
Metamo Re:born,メタモリボン,26.3,26,685,Master,209,
Reborn,再生,26.3,26,547,Master,142,
D/N/A,D/N/A,26.3,26,913,Expert,596,
Venus,ヴィーナス,26.3,26,1124,Expert,663,
Explore,エクスプロウル,26.3,26,1024,Expert,636,
Lose The Princess,さよならプリンセス,26.3,26,812,Expert,413,
Secret Seeker,シークレット・シーカー,26.3,26,894,Expert,569,
Dameningenda!,だめにんげんだ!,26.3,26,917,Expert,482,
HAVEN,ヘイヴン,26.3,26,875,Expert,508,
Liar Dancer,ライアーダンサー,26.3,26,892,Expert,509,
Ruma,ルマ,26.3,26,899,Expert,601,
Selfish princess,我儘姫,26.3,26,1040,Expert,376,
Osmanthus,金木犀,26.3,26,814,Expert,418,
Artifact,,26.3,26,1008,Expert,694,
Made to Order,オーダーメイド,26.2,26,601,Master,196,
kokoronashi,心做し,26.2,26,832,Master,358,
limbo,limbo,26.2,26,900,Expert,416,
O-Barcode,オーバーコード,26.2,26,1113,Expert,446,
Goodbye Declaration,グッバイ宣言,26.2,26,1017,Expert,198,
SlowDowner,スロウダウナー,26.2,26,1054,Expert,378,
Protodisco,プロトディスコ,26.2,26,913,Expert,561,
Marshall Maximizer,マーシャル・マキシマイザー,26.2,26,694,Expert,410,
Regulus,レグルス,26.2,26,949,Expert,423,
Hitomania,人マニア,26.2,26,1000,Expert,664,
Senbonzakura,千本桜,26.2,26,1000,Expert,110,
Starry Melancolia,星宙メランコリア,26.2,26,1004,Expert,608,
HANAOBORE,花溺れ,26.2,26,780,Expert,557,
Copycat,Copycat,26.1,26,997,Master,247,
Tell Your World,Tell Your World,26.1,26,1147,Master,1,
Where shall we go?,Where shall we go?,26.1,26,735,Master,338,
Rem,レム,26.1,26,537,Master,765,
Sora ni Menjite,空に免じて,26.1,26,539,Master,803,
"Still, we never stop singing",それでも僕らは歌うことをやめない,26.1,26,705,Expert,524,
Monitoring,モニタリング,26.1,26,901,Expert,628,
Kibou no tsuki,幾望の月,26.1,26,892,Expert,456,
The Gardener's Story,庭師のおはなしによると,26.1,26,1121,Expert,633,
Odo,踊,26.1,26,882,Expert,205,
i DO what i WANT,,26.1,26,751,Expert,657,
Kanadetomosusora,カナデトモスソラ,26.1,APD 24,1020,Append,149,
Goodbye,Goodbye,26.0,26,860,Master,228,
"Sky Passing Around, Moon Rabbit",回る空うさぎ,26.0,26,607,Master,607,
FAKE HEART,,26.0,26,778,Expert,514,
Passion at 25:00,25時の情熱,25.9,25+,725,Master,409,
Ichi Ni no San de,いちにのさんで,25.8,APD 24,791,Append,292,
Anata no Sora ga Naku no Nara,あなたの空が泣くのなら,25.6,25,682,Master,659,
Made to Order,オーダーメイド,25.6,APD 24,634,Append,196,
Yokanimotorete,余花にみとれて,25.5,25,613,Master,500,
Astronauts,アストロノーツ,25.3,25,523,Master,792,
About me,About me,25.0,25,863,Expert,643,
Bad ∞ End ∞ Night,Bad ∞ End ∞ Night,25.0,25,875,Expert,278,
Beat Eater,Beat Eater,25.0,25,772,Expert,156,
Beyond the way,Beyond the way,25.0,25,737,Expert,398,
Blackjack,Blackjack,25.0,25,921,Expert,542,
Blue Star,Blue Star,25.0,25,1046,Expert,342,
Booo!,Booo!,25.0,25,823,Expert,320,
Calc.,Calc.,25.0,25,1126,Expert,243,
Call!!,Call!!,25.0,25,549,Expert,594,
Cool Me Down,Cool Me Down,25.0,25,1159,Expert,425,
DAYBREAK FRONTLINE,DAYBREAK FRONTLINE,25.0,25,1102,Expert,253,
DREAM PLACE,DREAM PLACE,25.0,25,937,Expert,252,
drop pop candy,drop pop candy,25.0,25,773,Expert,15,
Fire◎Flower (Rerec),Fire◎Flower (Rerec),25.0,25,734,Expert,536,
FUN!!,FUN!!,25.0,25,622,Expert,575,
Glory Steady Go!,Glory Steady Go!,25.0,25,738,Expert,166,
Happy Halloween,Happy Halloween,25.0,25,827,Expert,172,
"Hello, Worker","Hello, Worker",25.0,25,773,Expert,286,
"Hello,world!","Hello,world!",25.0,25,900,Expert,184,
Henceforth,Henceforth,25.0,25,916,Expert,484,
imaginary love story,imaginary love story,25.0,25,1019,Expert,420,
Journey,Journey,25.0,25,1285,Expert,235,
KING,KING,25.0,25,1002,Expert,138,
Leia - Remind,Leia - Remind,25.0,25,970,Expert,85,
magic number,magic number,25.0,25,818,Expert,161,
Masquerade,Masquerade,25.0,25,868,Expert,746,
METEOR,METEOR,25.0,25,1160,Expert,337,
needLe,needLe,25.0,25,889,Expert,63,
NEO,NEO,25.0,25,939,Expert,366,
Peaky Peaky,Peaky Peaky,25.0,25,747,Expert,207,
QUEEN,QUEEN,25.0,25,1164,Expert,506,
Ready Steady,Ready Steady,25.0,25,564,Expert,54,
SHIAWASE FOR YOU!,SHIAWASE FOR YOU!,25.0,25,789,Expert,719,
STAGE OF SEKAI,STAGE OF SEKAI,25.0,25,1005,Expert,159,
SToRY,SToRY,25.0,25,705,Expert,574,
the WALL,the WALL,25.0,25,815,Expert,259,
Twilight Melody,Twilight Melody,25.0,25,943,Expert,445,
ULTRA C,ULTRA C,25.0,25,651,Expert,471,
Voices,Voices,25.0,25,1144,Expert,236,
YY,YY,25.0,25,976,Expert,266,
AI,アイ,25.0,25,821,Expert,616,
IDSMILE,アイディスマイル,25.0,25,985,Expert,116,
AI no UTA,あいのうた,25.0,25,950,Expert,467,
I'm Mine,アイムマイン,25.0,25,1058,Expert,368,
EYELID,アイリッド,25.0,25,813,Expert,560,
Night Sky Patrol of Tomorrow,アスノヨゾラ哨戒班,25.0,25,1073,Expert,18,
Attract Light,アトラクトライト,25.0,25,1295,Expert,321,
Anata Shika Mienai no,あなたしか見えないの,25.0,25,969,Expert,682,
Antenna 39,アンテナ39,25.0,25,1039,Expert,525,
Medicine,イガク,25.0,25,892,Expert,515,
Do not go,いかないで,25.0,25,977,Expert,120,
Imasugu Rinne,いますぐ輪廻,25.0,25,796,Expert,733,
The Vampire,ヴァンパイア,25.0,25,1029,Expert,213,
villain,ヴィラン,25.0,25,984,Expert,170,
"E? Ah,sou.",え？あぁ、そう。,25.0,25,838,Expert,437,
Alien Alien,エイリアンエイリアン,25.0,25,1208,Expert,246,
Ego rock,エゴロック,25.0,25,1041,Expert,225,
Otsukimi Recital,オツキミリサイタル,25.0,25,972,Expert,764,
TEARS OF GARNET,ガーネットの涙,25.0,25,774,Expert,466,
Cutlery,カトラリー,25.0,25,686,Expert,111,
culture,カルチャ,25.0,25,797,Expert,529,
Cat Loving,キャットラビング,25.0,25,934,Expert,491,
Queen of Hearts,クイーンオブハート,25.0,25,1189,Expert,592,
Call Boy,コールボーイ,25.0,25,809,Expert,505,
Cosmospice,コスモスパイス,25.0,25,849,Expert,233,
This Silly Wonderful World Exists For Me,このふざけた素晴らしき世界は、僕の為にある,25.0,25,946,Expert,625,
Kono Manma de Ikou,このまんまでいこう,25.0,25,738,Expert,642,
Samsa,ザムザ,25.0,25,779,Expert,300,
Salamander,サラマンダー,25.0,25,1186,Expert,230,
Cendrillon 10th Anniversary,サンドリヨン 10th Anniversary,25.0,25,735,Expert,104,
Judas,ジウダス,25.0,25,769,Expert,215,
Gehenna,ジェヘナ,25.0,25,1177,Expert,272,
SHANTI,シャンティ,25.0,25,942,Expert,276,
Showtime Ruler,ショウタイム・ルーラー,25.0,25,819,Expert,160,
Showtime×Audience,ショウタイム×オーディエンス,25.0,25,1091,Expert,440,
Super Hero,スーパーヒーロー,25.0,25,904,Expert,495,
Star,スター,25.0,25,799,Expert,570,
Star Night Snow,スターナイトスノウ,25.0,25,859,Expert,614,
Sono Oto ga Narunara,その音が鳴るなら,25.0,25,952,Expert,546,
DarlingDance,ダーリンダンス,25.0,25,824,Expert,168,
I want to be your heart,だれかの心臓になれたなら,25.0,25,811,Expert,152,
TETORIS,テトリス,25.0,25,653,Expert,627,
Telecaster b boy,テレキャスタービーボーイ,25.0,25,726,Expert,134,
DONUT HOLE 2024,ドーナツホール 2024,25.0,25,1046,Expert,220,
TOKIO FUNKA,トキヲ・ファンカ,25.0,25,780,Expert,150,
Dramaturgy,ドラマツルギー,25.0,25,747,Expert,91,
DOKUZU,ド屑,25.0,25,844,Expert,455,
Literary nonsense,ナンセンス文学,25.0,25,856,Expert,158,
NIJIIRO STORIES,ニジイロストーリーズ,25.0,25,881,Expert,103,
ONLINE GAME ADDICTS SPRECHCHOR,ネトゲ廃人シュプレヒコール,25.0,25,1156,Expert,298,
Noda,のだ,25.0,25,918,Expert,558,
Hao,ハオ,25.0,25,964,Expert,724,
Hashiru! Tooku! Todoku!,はしる! とおく! とどく!,25.0,25,742,Expert,498,
Hanataba,ハナタバ,25.0,25,894,Expert,759,
Pamela,パメラ,25.0,25,877,Expert,653,
Parasol Cider,パラソルサイダー,25.0,25,796,Expert,264,
My Palette is Full of You,パレットには君がいっぱい,25.0,25,900,Expert,214,
Balleriko,バレリーコ,25.0,25,965,Expert,589,
Bitter Choco Decoration,ビターチョコデコレーション,25.0,25,1059,Expert,129,
One Sheep,ひつじがいっぴき,25.0,25,1120,Expert,316,
Hibikase,ヒビカセ,25.0,25,898,Expert,109,
Fire Dance,ファイアダンス,25.0,25,606,Expert,576,
filament fever,フィラメントフィーバー,25.0,25,864,Expert,397,
FUEL,フューエル,25.0,25,698,Expert,478,
BLOOD DOLL,ブラッドドール,25.0,25,795,Expert,656,
BURIKI NO DANCE,ブリキノダンス,25.0,25,852,Expert,38,
Pentatonic,ペンタトニック,25.0,25,733,Expert,585,
Vocalo-Colosseum,ぼかろころしあむ,25.0,25,805,Expert,692,
Bocca della Verità,ボッカデラベリタ,25.0,25,884,Expert,125,
MATORYOSHKA,マトリョシカ,25.0,25,887,Expert,221,
manimani,まにまに,25.0,25,893,Expert,401,
Marionette Dancer,マリオネットダンサー,25.0,25,860,Expert,639,
Miracle Paint,ミラクルペイント,25.0,25,1300,Expert,36,
Main Character,メインキャラクター,25.0,25,951,Expert,541,
Melt,メルト,25.0,25,1363,Expert,47,
Yankee Boy Yankee Girl,ヤンキーボーイ・ヤンキーガール,25.0,25,903,Expert,586,
Raspberry＊Monster,ラズベリー＊モンスター,25.0,25,933,Expert,705,
Love Ka?,ラブカ？,25.0,25,710,Expert,260,
Ramune,ラムネ,25.0,25,951,Expert,702,
Realize,リアライズ,25.0,25,744,Expert,356,
Rin-chan Now!,リンちゃんなう！,25.0,25,1098,Expert,303,
Luka Luka★Night Fever,ルカルカ★ナイトフィーバー,25.0,25,950,Expert,216,
Rainy Snowdrop,レイニースノードロップ,25.0,25,1234,Expert,283,
Lost and Found,ロストエンファウンド,25.0,25,1082,Expert,226,
World Lampshade[reunion],ワールド・ランプシェード [reunion],25.0,25,895,Expert,534,
KLY,一千光年,25.0,25,941,Expert,439,
Step for a Crescent,三日月ステップ,25.0,25,891,Expert,580,
Retainer Supplanting His Lord,下剋上,25.0,25,1228,Expert,373,
nisemononingen40gou,偽物人間40号,25.0,25,775,Expert,571,
We're Still Underground,僕らまだアンダーグラウンド,25.0,25,920,Expert,208,
When First Love Ends,初めての恋が終わる時,25.0,25,822,Expert,407,
BRING IT ON,劣等上等,25.0,25,825,Expert,26,
Butterfly on Your Right Shoulder,右肩の蝶,25.0,25,1058,Expert,177,
Synthesize You,合成するミライ,25.0,25,969,Expert,512,
Yoshiwara Lament second edition,吉原ラメント 再来盤,25.0,25,1135,Expert,591,
It's just life,命ばっかり,25.0,25,1037,Expert,352,
Chikyuu Saigo no Kokuhaku wo,地球最後の告白を,25.0,25,884,Expert,154,
Into The Night,夜に駆ける,25.0,25,932,Expert,139,
Amanojaku,天ノ弱,25.0,25,982,Expert,289,
Tengaku,天樂,25.0,25,1396,Expert,372,
FAILURE GIRL,失敗作少女,25.0,25,805,Expert,510,
Love! Snow! Really Magic,好き！雪！本気マジック,25.0,25,828,Expert,611,
KISARAGI ATTENTION,如月アテンション,25.0,25,855,Expert,511,
mousou aspartame,妄想アスパルテーム,25.0,25,828,Expert,544,
Doukaai,導火愛,25.0,25,883,Expert,737,
"Maku o Orosou, Parade e",幕を下ろそう、パレードへ,25.0,25,861,Expert,718,
"A Glimmer, 1/f fluctuation",幽光、1/fのゆらめき,25.0,25,718,Expert,427,
Good Weather,快晴,25.0,25,1286,Expert,323,
Kiss the Villain,悪役にキスシーンを,25.0,25,998,Expert,377,
"Love Me, Love Me, Love Me",愛して愛して愛して,25.0,25,928,Expert,181,
SEIBAIITAAAAASU!,成敗いたAAAAAす！,25.0,25,1022,Expert,472,
Cellphone Love Story,携帯恋話,25.0,25,981,Expert,61,
Hoshi ni Ichiban Chikai Basho,星に一番近い場所,25.0,25,964,Expert,681,
Stardust Utopia,星屑ユートピア,25.0,25,1183,Expert,261,
Moonlight,月光,25.0,25,1058,Expert,239,
Kimagure Mercy,気まぐれメルシィ,25.0,25,1247,Expert,281,
Eien Hanahadashii,永遠甚だしい,25.0,25,930,Expert,706,
The Bubble Future,泡沫未来,25.0,25,750,Expert,151,
Pulse of the Meteor,流星のパルス,25.0,25,958,Expert,173,
Deep sea city under ground,深海シティアンダーグラウンド,25.0,25,872,Expert,645,
Konton Boogie,混沌ブギ,25.0,25,962,Expert,499,
